Symbol_id,Symbol_name,RefName,Type,Active,Timezone_name,provider_name
1,XAUUSD,XAUUSD,METAL,FALSE,Etc/GMT+3,MetaTrader5
2,BTCUSD,BTCUSD,CRYPTO,FALSE,Etc/GMT+3,MetaTrader5
3,ETHUSD,ETHUSD,CRYPTO,FALSE,Etc/GMT+3,MetaTrader5
4,GBPJPY,GBPJPY,FX,FALSE,Etc/GMT+3,CAPITALCOM
5,GBPCHF,GBPCHF,FX,FALSE,Etc/GMT+3,CAPITALCOM
6,XAUUSD,XAUUSD,METAL,FALSE,Etc/GMT+3,OANDA
7,BTCUSD,BTCUSD,CRYPTO,FALSE,Etc/GMT+3,BINANCE
8,US30,US30,CASH,FALSE,Etc/GMT+3,CAPITALCOM
9,US100,US100,CASH,FALSE,Etc/GMT+3,CAPITALCOM
10,US500,US500,CASH,FALSE,Etc/GMT+3,CAPITALCOM
11,UK100,UK100,CASH,FALSE,Etc/GMT+3,CAPITALCOM
12,SP35,SP35,CASH,FALSE,Etc/GMT+3,CAPITALCOM
13,J225,J225,CASH,FALSE,Etc/GMT+3,CAPITALCOM
14,HK50,HK50,CASH,FALSE,Etc/GMT+3,CAPITALCOM
15,DE40,DE40,CASH,FALSE,Etc/GMT+3,CAPITALCOM
16,FR40,FR40,CASH,FALSE,Etc/GMT+3,CAPITALCOM
17,AU200,AU200,CASH,FALSE,Etc/GMT+3,CAPITALCOM
18,GBPCHF,GBPCHF,FX,FALSE,Etc/GMT+3,MetaTrader5
